Address,Balance (ETH)
0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,127.86
0xfa1d4ce9f0423bf353795ba85b47c3bb46e9a69f,94.14
0x4339889fd9dfca20a423fba011e9dff1c856caeb,55.43
0x9a55de6717e2f73da41d53401f249d22fbe2d108,55.25
0x047a2fbe8aef590d4eb8942426a24970af301875,30.52
0x641932eccd1fa318c0195954a29e0d76373aac9e,27.99
0x9b7e7f21d98f21c0354035798c40e9040e25787f,26.95
0xd1f4894d29e9c5d04d57392ea7f674f7769e0f61,19.45
0x8a4cbffb8df90cc265f228f3026a1919777e166d,13.04
0x37ec31ce846ebf468269d5b5c5c11b085dca1a00,10.84
0x76f36d497b51e48a288f03b4c1d7461e92247d5e,9.20
0x10e093b5f4159c94435131912550b2e08e840d42,7.60
0x91aae0aafd9d2d730111b395c6871f248d7bd728,6.07
0x23583b8104c11f3c2fb30cee228170fcffaad0b2,4.81
0x89c645c16f9193178f5b9ea4ffac2aeff2737182,2.53
0x1f903db9f09aeaf610e8d31d3a792c692be5edbc,2.30
0x1cc6e4d1fed32d931cc1eb00edb42fab7279b8a8,2.27
0x0000000000d3e910c999cfa4a016eaafe9fcb604,1.97
0x247e67ae4a2a799680cadd86fa10c2d302216c85,1.59
0x6ab0e8dd7eb6defb53b0ceebda2b00d543d33fa1,1.57
0xdf3504e9d05e54197f5d6db864194b199258571d,1.53
0x56fc0708725a65ebb633efdaec931c0600a9face,1.42
0xf84a785805f861be33f49a98b310a2a2cfca3647,1.31
0x60c33eec76f1b55185d2030df84438bec7d5a88a,1.21
0xec4fa49cb7c5ff2f03dbd6845176648f5beb0015,1.06
